bundleID,starter,maindishI,maindishII,side,dessert,avg_rating
31,Fried Chicken Tenders,Pulled Pork,Lobster Roll,Mac and Cheese,Blondie Brownie,9.86
32,Fried Chicken Tenders,Pulled Pork,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.78
33,Fried Chicken Tenders,Pulled Pork,Lobster Roll,Potato Salad,Blondie Brownie,9.48
34,Fried Chicken Tenders,Pulled Pork,Lobster Roll,Potato Salad,Apple Pie a la Mode,9.94
35,Fried Chicken Tenders,Pulled Pork,Lobster Roll,French Fry Platter,Blondie Brownie,7.65
36,Fried Chicken Tenders,Pulled Pork,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.77
37,Fried Chicken Tenders,Pulled Pork,Beef Short Rib,Mac and Cheese,Blondie Brownie,6.02
38,Fried Chicken Tenders,Pulled Pork,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,8.33
39,Fried Chicken Tenders,Pulled Pork,Beef Short Rib,Potato Salad,Blondie Brownie,5.94
40,Fried Chicken Tenders,Pulled Pork,Beef Short Rib,Potato Salad,Apple Pie a la Mode,5.74
41,Fried Chicken Tenders,Pulled Pork,Beef Short Rib,French Fry Platter,Blondie Brownie,9.93
42,Fried Chicken Tenders,Pulled Pork,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,6.05
43,Fried Chicken Tenders,Pulled Pork,Steak Sampler,Mac and Cheese,Blondie Brownie,9.178
44,Fried Chicken Tenders,Pulled Pork,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,8.988
45,Fried Chicken Tenders,Pulled Pork,Steak Sampler,Potato Salad,Blondie Brownie,8.078
46,Fried Chicken Tenders,Pulled Pork,Steak Sampler,Potato Salad,Apple Pie a la Mode,8.108
47,Fried Chicken Tenders,Pulled Pork,Steak Sampler,French Fry Platter,Blondie Brownie,5.478
48,Fried Chicken Tenders,Pulled Pork,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.858
49,Fried Chicken Tenders,BBQ Chicken,Sausage,Mac and Cheese,Blondie Brownie,9.04
50,Fried Chicken Tenders,BBQ Chicken,Sausage,Mac and Cheese,Apple Pie a la Mode,9.25
51,Fried Chicken Tenders,BBQ Chicken,Sausage,Potato Salad,Blondie Brownie,8.32
52,Fried Chicken Tenders,BBQ Chicken,Sausage,Potato Salad,Apple Pie a la Mode,6.07
53,Fried Chicken Tenders,BBQ Chicken,Sausage,French Fry Platter,Blondie Brownie,3.91
54,Fried Chicken Tenders,BBQ Chicken,Sausage,French Fry Platter,Apple Pie a la Mode,6.33
55,Fried Chicken Tenders,BBQ Chicken,Lobster Roll,Mac and Cheese,Blondie Brownie,9.4176
56,Fried Chicken Tenders,BBQ Chicken,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.05
57,Fried Chicken Tenders,BBQ Chicken,Lobster Roll,Potato Salad,Blondie Brownie,8.93
58,Fried Chicken Tenders,BBQ Chicken,Lobster Roll,Potato Salad,Apple Pie a la Mode,7.81
59,Fried Chicken Tenders,BBQ Chicken,Lobster Roll,French Fry Platter,Blondie Brownie,4.72
60,Fried Chicken Tenders,BBQ Chicken,Lobster Roll,French Fry Platter,Apple Pie a la Mode,8.29
61,Fried Chicken Tenders,BBQ Chicken,Beef Short Rib,Mac and Cheese,Blondie Brownie,6.9
62,Fried Chicken Tenders,BBQ Chicken,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,7.37
63,Fried Chicken Tenders,BBQ Chicken,Beef Short Rib,Potato Salad,Blondie Brownie,4.93
64,Fried Chicken Tenders,BBQ Chicken,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.47
65,Fried Chicken Tenders,BBQ Chicken,Beef Short Rib,French Fry Platter,Blondie Brownie,1.69
66,Fried Chicken Tenders,BBQ Chicken,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,7.01
67,Fried Chicken Tenders,BBQ Chicken,Steak Sampler,Mac and Cheese,Blondie Brownie,5.658
68,Fried Chicken Tenders,BBQ Chicken,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,5.128
69,Fried Chicken Tenders,BBQ Chicken,Steak Sampler,Potato Salad,Blondie Brownie,5.128
70,Fried Chicken Tenders,BBQ Chicken,Steak Sampler,Potato Salad,Apple Pie a la Mode,5.268
71,Fried Chicken Tenders,BBQ Chicken,Steak Sampler,French Fry Platter,Blondie Brownie,4.408
72,Fried Chicken Tenders,BBQ Chicken,Steak Sampler,French Fry Platter,Apple Pie a la Mode,4.508
73,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Blondie Brownie,9.78
74,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Apple Pie a la Mode,8.7
75,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Blondie Brownie,8.99
76,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Apple Pie a la Mode,9.65
77,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Blondie Brownie,2.63
78,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Apple Pie a la Mode,7.91
79,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Blondie Brownie,8.5
80,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.76
81,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Blondie Brownie,7.74
82,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Apple Pie a la Mode,9.94
83,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Blondie Brownie,7.89
84,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Apple Pie a la Mode,7.16
85,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Blondie Brownie,5.82
86,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,6.98
87,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Blondie Brownie,8.84
88,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.33
89,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Blondie Brownie,7.26
90,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,9.49
91,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Blondie Brownie,5.748
92,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,8.738
93,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Blondie Brownie,7.658
94,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Apple Pie a la Mode,3.248
95,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Blondie Brownie,9.048
96,Fried Chicken Tenders,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.118
97,Bacon Fries,BBQ Brisket,Sausage,Mac and Cheese,Blondie Brownie,7.66
98,Bacon Fries,BBQ Brisket,Sausage,Mac and Cheese,Apple Pie a la Mode,6.51
99,Bacon Fries,BBQ Brisket,Sausage,Potato Salad,Blondie Brownie,7.69
100,Bacon Fries,BBQ Brisket,Sausage,Potato Salad,Apple Pie a la Mode,5.99
101,Bacon Fries,BBQ Brisket,Sausage,French Fry Platter,Blondie Brownie,7.27
102,Bacon Fries,BBQ Brisket,Sausage,French Fry Platter,Apple Pie a la Mode,5.62
103,Bacon Fries,BBQ Brisket,Lobster Roll,Mac and Cheese,Blondie Brownie,5.76
104,Bacon Fries,BBQ Brisket,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.3716
105,Bacon Fries,BBQ Brisket,Lobster Roll,Potato Salad,Blondie Brownie,4.47
106,Bacon Fries,BBQ Brisket,Lobster Roll,Potato Salad,Apple Pie a la Mode,8.23
107,Bacon Fries,BBQ Brisket,Lobster Roll,French Fry Platter,Blondie Brownie,8.5
108,Bacon Fries,BBQ Brisket,Lobster Roll,French Fry Platter,Apple Pie a la Mode,6.21
109,Bacon Fries,BBQ Brisket,Beef Short Rib,Mac and Cheese,Blondie Brownie,8.86
110,Bacon Fries,BBQ Brisket,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,9.87
111,Bacon Fries,BBQ Brisket,Beef Short Rib,Potato Salad,Blondie Brownie,3.31
112,Bacon Fries,BBQ Brisket,Beef Short Rib,Potato Salad,Apple Pie a la Mode,6.92
113,Bacon Fries,BBQ Brisket,Beef Short Rib,French Fry Platter,Blondie Brownie,7.05
114,Bacon Fries,BBQ Brisket,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,6.29
115,Bacon Fries,BBQ Brisket,Steak Sampler,Mac and Cheese,Blondie Brownie,6.808
116,Bacon Fries,BBQ Brisket,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,7.678
117,Bacon Fries,BBQ Brisket,Steak Sampler,Potato Salad,Blondie Brownie,6.828
118,Bacon Fries,BBQ Brisket,Steak Sampler,Potato Salad,Apple Pie a la Mode,7.568
119,Bacon Fries,BBQ Brisket,Steak Sampler,French Fry Platter,Blondie Brownie,5.178
120,Bacon Fries,BBQ Brisket,Steak Sampler,French Fry Platter,Apple Pie a la Mode,5.708
121,Bacon Fries,Pulled Pork,Sausage,Mac and Cheese,Blondie Brownie,5.71
122,Bacon Fries,Pulled Pork,Sausage,Mac and Cheese,Apple Pie a la Mode,7.47
123,Bacon Fries,Pulled Pork,Sausage,Potato Salad,Blondie Brownie,6.85
124,Bacon Fries,Pulled Pork,Sausage,Potato Salad,Apple Pie a la Mode,7.53
125,Bacon Fries,Pulled Pork,Sausage,French Fry Platter,Blondie Brownie,6.82
126,Bacon Fries,Pulled Pork,Sausage,French Fry Platter,Apple Pie a la Mode,7.46
127,Bacon Fries,Pulled Pork,Lobster Roll,Mac and Cheese,Blondie Brownie,8.13
128,Bacon Fries,Pulled Pork,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,8.78
129,Bacon Fries,Pulled Pork,Lobster Roll,Potato Salad,Blondie Brownie,7.94
130,Bacon Fries,Pulled Pork,Lobster Roll,Potato Salad,Apple Pie a la Mode,9.384
131,Bacon Fries,Pulled Pork,Lobster Roll,French Fry Platter,Blondie Brownie,9.14
132,Bacon Fries,Pulled Pork,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.45
133,Bacon Fries,Pulled Pork,Beef Short Rib,Mac and Cheese,Blondie Brownie,6.88
134,Bacon Fries,Pulled Pork,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,8.93
135,Bacon Fries,Pulled Pork,Beef Short Rib,Potato Salad,Blondie Brownie,5.07
136,Bacon Fries,Pulled Pork,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.55
137,Bacon Fries,Pulled Pork,Beef Short Rib,French Fry Platter,Blondie Brownie,5.34
138,Bacon Fries,Pulled Pork,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,7.16
139,Bacon Fries,Pulled Pork,Steak Sampler,Mac and Cheese,Blondie Brownie,6.498
140,Bacon Fries,Pulled Pork,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,7.208
141,Bacon Fries,Pulled Pork,Steak Sampler,Potato Salad,Blondie Brownie,8.588
142,Bacon Fries,Pulled Pork,Steak Sampler,Potato Salad,Apple Pie a la Mode,8.428
143,Bacon Fries,Pulled Pork,Steak Sampler,French Fry Platter,Blondie Brownie,6.198
144,Bacon Fries,Pulled Pork,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.308
145,Bacon Fries,BBQ Chicken,Sausage,Mac and Cheese,Blondie Brownie,7.47
146,Bacon Fries,BBQ Chicken,Sausage,Mac and Cheese,Apple Pie a la Mode,8.79
147,Bacon Fries,BBQ Chicken,Sausage,Potato Salad,Blondie Brownie,5.96
148,Bacon Fries,BBQ Chicken,Sausage,Potato Salad,Apple Pie a la Mode,8.09
149,Bacon Fries,BBQ Chicken,Sausage,French Fry Platter,Blondie Brownie,8.24
150,Bacon Fries,BBQ Chicken,Sausage,French Fry Platter,Apple Pie a la Mode,5.09
151,Bacon Fries,BBQ Chicken,Lobster Roll,Mac and Cheese,Blondie Brownie,9.48
152,Bacon Fries,BBQ Chicken,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.3196
153,Bacon Fries,BBQ Chicken,Lobster Roll,Potato Salad,Blondie Brownie,7.21
154,Bacon Fries,BBQ Chicken,Lobster Roll,Potato Salad,Apple Pie a la Mode,8.35
155,Bacon Fries,BBQ Chicken,Lobster Roll,French Fry Platter,Blondie Brownie,8.69
156,Bacon Fries,BBQ Chicken,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.2
157,Bacon Fries,BBQ Chicken,Beef Short Rib,Mac and Cheese,Blondie Brownie,7.5
158,Bacon Fries,BBQ Chicken,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,9.17
159,Bacon Fries,BBQ Chicken,Beef Short Rib,Potato Salad,Blondie Brownie,3.6
160,Bacon Fries,BBQ Chicken,Beef Short Rib,Potato Salad,Apple Pie a la Mode,6.9
161,Bacon Fries,BBQ Chicken,Beef Short Rib,French Fry Platter,Blondie Brownie,3.6
162,Bacon Fries,BBQ Chicken,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,8.81
163,Bacon Fries,BBQ Chicken,Steak Sampler,Mac and Cheese,Blondie Brownie,3.228
164,Bacon Fries,BBQ Chicken,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,7.608
165,Bacon Fries,BBQ Chicken,Steak Sampler,Potato Salad,Blondie Brownie,4.268
166,Bacon Fries,BBQ Chicken,Steak Sampler,Potato Salad,Apple Pie a la Mode,8.818
167,Bacon Fries,BBQ Chicken,Steak Sampler,French Fry Platter,Blondie Brownie,6.238
168,Bacon Fries,BBQ Chicken,Steak Sampler,French Fry Platter,Apple Pie a la Mode,3.378
169,Bacon Fries,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Blondie Brownie,8.43
170,Bacon Fries,Buffalo Chicken Macaroni Stacker,Sausage,Mac and Cheese,Apple Pie a la Mode,9.3532
171,Bacon Fries,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Blondie Brownie,5.39
172,Bacon Fries,Buffalo Chicken Macaroni Stacker,Sausage,Potato Salad,Apple Pie a la Mode,7.4
173,Bacon Fries,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Blondie Brownie,7.97
174,Bacon Fries,Buffalo Chicken Macaroni Stacker,Sausage,French Fry Platter,Apple Pie a la Mode,7.65
175,Bacon Fries,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Blondie Brownie,9.41
176,Bacon Fries,Buffalo Chicken Macaroni Stacker,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,7.62
177,Bacon Fries,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Blondie Brownie,8.39
178,Bacon Fries,Buffalo Chicken Macaroni Stacker,Lobster Roll,Potato Salad,Apple Pie a la Mode,8.92
179,Bacon Fries,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Blondie Brownie,9.1
180,Bacon Fries,Buffalo Chicken Macaroni Stacker,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.7
181,Bacon Fries,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Blondie Brownie,6.6
182,Bacon Fries,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,7.6
183,Bacon Fries,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Blondie Brownie,7.41
184,Bacon Fries,Buffalo Chicken Macaroni Stacker,Beef Short Rib,Potato Salad,Apple Pie a la Mode,7.99
185,Bacon Fries,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Blondie Brownie,7.9
186,Bacon Fries,Buffalo Chicken Macaroni Stacker,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,9.34
187,Bacon Fries,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Blondie Brownie,5.968
188,Bacon Fries,Buffalo Chicken Macaroni Stacker,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,8.338
189,Bacon Fries,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Blondie Brownie,6.838
190,Bacon Fries,Buffalo Chicken Macaroni Stacker,Steak Sampler,Potato Salad,Apple Pie a la Mode,4.858
191,Bacon Fries,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Blondie Brownie,5.738
192,Bacon Fries,Buffalo Chicken Macaroni Stacker,Steak Sampler,French Fry Platter,Apple Pie a la Mode,8.658
193,Sticky Chicken Tenders,BBQ Brisket,Sausage,Mac and Cheese,Blondie Brownie,8.85
194,Sticky Chicken Tenders,BBQ Brisket,Sausage,Mac and Cheese,Apple Pie a la Mode,8.27
195,Sticky Chicken Tenders,BBQ Brisket,Sausage,Potato Salad,Blondie Brownie,9.9
196,Sticky Chicken Tenders,BBQ Brisket,Sausage,Potato Salad,Apple Pie a la Mode,9.48
197,Sticky Chicken Tenders,BBQ Brisket,Sausage,French Fry Platter,Blondie Brownie,7.79
198,Sticky Chicken Tenders,BBQ Brisket,Sausage,French Fry Platter,Apple Pie a la Mode,9.67
199,Sticky Chicken Tenders,BBQ Brisket,Lobster Roll,Mac and Cheese,Blondie Brownie,6.61
200,Sticky Chicken Tenders,BBQ Brisket,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.31
201,Sticky Chicken Tenders,BBQ Brisket,Lobster Roll,Potato Salad,Blondie Brownie,9.11
202,Sticky Chicken Tenders,BBQ Brisket,Lobster Roll,Potato Salad,Apple Pie a la Mode,6.74
203,Sticky Chicken Tenders,BBQ Brisket,Lobster Roll,French Fry Platter,Blondie Brownie,7.79
204,Sticky Chicken Tenders,BBQ Brisket,Lobster Roll,French Fry Platter,Apple Pie a la Mode,8.03
205,Sticky Chicken Tenders,BBQ Brisket,Beef Short Rib,Mac and Cheese,Blondie Brownie,9.72
206,Sticky Chicken Tenders,BBQ Brisket,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,7.06
207,Sticky Chicken Tenders,BBQ Brisket,Beef Short Rib,Potato Salad,Blondie Brownie,4.39
208,Sticky Chicken Tenders,BBQ Brisket,Beef Short Rib,Potato Salad,Apple Pie a la Mode,7.51
209,Sticky Chicken Tenders,BBQ Brisket,Beef Short Rib,French Fry Platter,Blondie Brownie,6.96
210,Sticky Chicken Tenders,BBQ Brisket,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,9.35
211,Sticky Chicken Tenders,BBQ Brisket,Steak Sampler,Mac and Cheese,Blondie Brownie,5.938
212,Sticky Chicken Tenders,BBQ Brisket,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,7.138
213,Sticky Chicken Tenders,BBQ Brisket,Steak Sampler,Potato Salad,Blondie Brownie,6.628
214,Sticky Chicken Tenders,BBQ Brisket,Steak Sampler,Potato Salad,Apple Pie a la Mode,7.618
215,Sticky Chicken Tenders,BBQ Brisket,Steak Sampler,French Fry Platter,Blondie Brownie,7.108
216,Sticky Chicken Tenders,BBQ Brisket,Steak Sampler,French Fry Platter,Apple Pie a la Mode,6.658
217,Sticky Chicken Tenders,Pulled Pork,Sausage,Mac and Cheese,Blondie Brownie,9.52
218,Sticky Chicken Tenders,Pulled Pork,Sausage,Mac and Cheese,Apple Pie a la Mode,9.292
219,Sticky Chicken Tenders,Pulled Pork,Sausage,Potato Salad,Blondie Brownie,8.01
220,Sticky Chicken Tenders,Pulled Pork,Sausage,Potato Salad,Apple Pie a la Mode,5.69
221,Sticky Chicken Tenders,Pulled Pork,Sausage,French Fry Platter,Blondie Brownie,9.66
222,Sticky Chicken Tenders,Pulled Pork,Sausage,French Fry Platter,Apple Pie a la Mode,9.2276
223,Sticky Chicken Tenders,Pulled Pork,Lobster Roll,Mac and Cheese,Blondie Brownie,9.54
224,Sticky Chicken Tenders,Pulled Pork,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,9.94
225,Sticky Chicken Tenders,Pulled Pork,Lobster Roll,Potato Salad,Blondie Brownie,7.48
226,Sticky Chicken Tenders,Pulled Pork,Lobster Roll,Potato Salad,Apple Pie a la Mode,7.07
227,Sticky Chicken Tenders,Pulled Pork,Lobster Roll,French Fry Platter,Blondie Brownie,6.12
228,Sticky Chicken Tenders,Pulled Pork,Lobster Roll,French Fry Platter,Apple Pie a la Mode,7.88
229,Sticky Chicken Tenders,Pulled Pork,Beef Short Rib,Mac and Cheese,Blondie Brownie,8.58
230,Sticky Chicken Tenders,Pulled Pork,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,8.15
231,Sticky Chicken Tenders,Pulled Pork,Beef Short Rib,Potato Salad,Blondie Brownie,8.51
232,Sticky Chicken Tenders,Pulled Pork,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.26
233,Sticky Chicken Tenders,Pulled Pork,Beef Short Rib,French Fry Platter,Blondie Brownie,7.17
234,Sticky Chicken Tenders,Pulled Pork,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,9.43
235,Sticky Chicken Tenders,Pulled Pork,Steak Sampler,Mac and Cheese,Blondie Brownie,4.728
236,Sticky Chicken Tenders,Pulled Pork,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,8.148
237,Sticky Chicken Tenders,Pulled Pork,Steak Sampler,Potato Salad,Blondie Brownie,8.458
238,Sticky Chicken Tenders,Pulled Pork,Steak Sampler,Potato Salad,Apple Pie a la Mode,3.978
239,Sticky Chicken Tenders,Pulled Pork,Steak Sampler,French Fry Platter,Blondie Brownie,6.478
240,Sticky Chicken Tenders,Pulled Pork,Steak Sampler,French Fry Platter,Apple Pie a la Mode,6.458
241,Sticky Chicken Tenders,BBQ Chicken,Sausage,Mac and Cheese,Blondie Brownie,9.44
242,Sticky Chicken Tenders,BBQ Chicken,Sausage,Mac and Cheese,Apple Pie a la Mode,6.66
243,Sticky Chicken Tenders,BBQ Chicken,Sausage,Potato Salad,Blondie Brownie,5.91
244,Sticky Chicken Tenders,BBQ Chicken,Sausage,Potato Salad,Apple Pie a la Mode,8.77
245,Sticky Chicken Tenders,BBQ Chicken,Sausage,French Fry Platter,Blondie Brownie,7.54
246,Sticky Chicken Tenders,BBQ Chicken,Sausage,French Fry Platter,Apple Pie a la Mode,7.58
247,Sticky Chicken Tenders,BBQ Chicken,Lobster Roll,Mac and Cheese,Blondie Brownie,7.72
248,Sticky Chicken Tenders,BBQ Chicken,Lobster Roll,Mac and Cheese,Apple Pie a la Mode,7.18
249,Sticky Chicken Tenders,BBQ Chicken,Lobster Roll,Potato Salad,Blondie Brownie,7.59
250,Sticky Chicken Tenders,BBQ Chicken,Lobster Roll,Potato Salad,Apple Pie a la Mode,8.95
251,Sticky Chicken Tenders,BBQ Chicken,Lobster Roll,French Fry Platter,Blondie Brownie,7.5
252,Sticky Chicken Tenders,BBQ Chicken,Lobster Roll,French Fry Platter,Apple Pie a la Mode,9.2808
253,Sticky Chicken Tenders,BBQ Chicken,Beef Short Rib,Mac and Cheese,Blondie Brownie,7.02
254,Sticky Chicken Tenders,BBQ Chicken,Beef Short Rib,Mac and Cheese,Apple Pie a la Mode,9.55
255,Sticky Chicken Tenders,BBQ Chicken,Beef Short Rib,Potato Salad,Blondie Brownie,7.15
256,Sticky Chicken Tenders,BBQ Chicken,Beef Short Rib,Potato Salad,Apple Pie a la Mode,9.54
257,Sticky Chicken Tenders,BBQ Chicken,Beef Short Rib,French Fry Platter,Blondie Brownie,5.24
258,Sticky Chicken Tenders,BBQ Chicken,Beef Short Rib,French Fry Platter,Apple Pie a la Mode,5.85
259,Sticky Chicken Tenders,BBQ Chicken,Steak Sampler,Mac and Cheese,Blondie Brownie,6.718
260,Sticky Chicken Tenders,BBQ Chicken,Steak Sampler,Mac and Cheese,Apple Pie a la Mode,9.0624
261,Sticky Chicken Tenders,BBQ Chicken,Steak Sampler,Potato Salad,Blondie Brownie,4.958
